"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 24 16:14:20 EEST 2022","Sat Sep 24 16:14:26 EEST 2022","6732","","Tests in Sign Up Page","","Tests in Sign Up Page","TC01 - Should enter incorrect email in ""work email"" field in ""Sign up"" form","TC01 - Should enter incorrect email in ""work email"" field in ""Sign up"" form",""
"passed","Sat Sep 24 16:14:13 EEST 2022","Sat Sep 24 16:14:17 EEST 2022","4186","","Tests for saving calculator","","Tests for saving calculator","TC010 - Should check Savings Calculator work with custom settings","TC010 - Should check Savings Calculator work with custom settings",""
"passed","Sat Sep 24 16:12:54 EEST 2022","Sat Sep 24 16:13:02 EEST 2022","7902","","Tests for blog search and filters","","Tests for blog search and filters","TC06 - Should check Blog search work","TC06 - Should check Blog search work",""
"passed","Sat Sep 24 16:13:21 EEST 2022","Sat Sep 24 16:13:26 EEST 2022","5631","","Tests for waitlist, documentation, waitlist, support center","","Tests for waitlist, documentation, waitlist, support center","TC03 - Should access to Telnyx API Documentation","TC03 - Should access to Telnyx API Documentation",""
"passed","Sat Sep 24 16:14:48 EEST 2022","Sat Sep 24 16:14:53 EEST 2022","4647","","Tests for social media and law enforcement request","","Tests for social media and law enforcement request","TC15 - Should check connection to Telnyx twitter account","TC15 - Should check connection to Telnyx twitter account",""
"passed","Sat Sep 24 16:13:38 EEST 2022","Sat Sep 24 16:13:49 EEST 2022","10531","","Tests for header navigation","","Tests for header navigation","TC11 - Should check navigation to all Telnyx products work","TC11 - Should check navigation to all Telnyx products work",""
"passed","Sat Sep 24 16:13:32 EEST 2022","Sat Sep 24 16:13:36 EEST 2022","3362","","Tests for waitlist, documentation, waitlist, support center","","Tests for waitlist, documentation, waitlist, support center","TC05 - Should join the waitlist on Telnyx","TC05 - Should join the waitlist on Telnyx",""
"passed","Sat Sep 24 16:13:59 EEST 2022","Sat Sep 24 16:14:04 EEST 2022","5153","","Tests for header navigation","","Tests for header navigation","TC13 - Should check navigation to all Telnyx pricing work","TC13 - Should check navigation to all Telnyx pricing work",""
"passed","Sat Sep 24 16:13:02 EEST 2022","Sat Sep 24 16:13:06 EEST 2022","4001","","Tests for blog search and filters","","Tests for blog search and filters","TC07 - Should check Blog filter by product work","TC07 - Should check Blog filter by product work",""
"passed","Sat Sep 24 16:13:49 EEST 2022","Sat Sep 24 16:13:59 EEST 2022","9672","","Tests for header navigation","","Tests for header navigation","TC12 - Should check navigation to all Telnyx solutions work","TC12 - Should check navigation to all Telnyx solutions work",""
"passed","Sat Sep 24 16:14:34 EEST 2022","Sat Sep 24 16:14:42 EEST 2022","7886","","Tests in Sign Up Page","","Tests in Sign Up Page","TC20 - Should display the privacy policy page","TC20 - Should display the privacy policy page",""
"passed","Sat Sep 24 16:13:06 EEST 2022","Sat Sep 24 16:13:10 EEST 2022","4147","","Tests for blog search and filters","","Tests for blog search and filters","TC08 - Should check Blog filter by content work","TC08 - Should check Blog filter by content work",""
"passed","Sat Sep 24 16:14:30 EEST 2022","Sat Sep 24 16:14:34 EEST 2022","3985","","Tests in Sign Up Page","","Tests in Sign Up Page","TC19 - Should display the terms and conditions page","TC19 - Should display the terms and conditions page",""
"passed","Sat Sep 24 16:14:57 EEST 2022","Sat Sep 24 16:15:01 EEST 2022","3924","","Tests for social media and law enforcement request","","Tests for social media and law enforcement request","TC17 - Should send empty Law Enforcement Request","TC17 - Should send empty Law Enforcement Request",""
"passed","Sat Sep 24 16:13:13 EEST 2022","Sat Sep 24 16:13:21 EEST 2022","8040","","Tests for waitlist, documentation, waitlist, support center","","Tests for waitlist, documentation, waitlist, support center","TC02 - Should request a demo on Telnyx","TC02 - Should request a demo on Telnyx",""
"passed","Sat Sep 24 16:14:26 EEST 2022","Sat Sep 24 16:14:30 EEST 2022","3752","","Tests in Sign Up Page","","Tests in Sign Up Page","TC18 - Should display the Promo code field","TC18 - Should display the Promo code field",""
"passed","Sat Sep 24 16:14:06 EEST 2022","Sat Sep 24 16:14:13 EEST 2022","6813","","Tests for saving calculator","","Tests for saving calculator","TC09 - Should check Savings Calculator work with default settings","TC09 - Should check Savings Calculator work with default settings",""
"passed","Sat Sep 24 16:14:53 EEST 2022","Sat Sep 24 16:14:57 EEST 2022","3777","","Tests for social media and law enforcement request","","Tests for social media and law enforcement request","TC16 - Should check connection to Telnyx linkedin account","TC16 - Should check connection to Telnyx linkedin account",""
"passed","Sat Sep 24 16:13:26 EEST 2022","Sat Sep 24 16:13:32 EEST 2022","6061","","Tests for waitlist, documentation, waitlist, support center","","Tests for waitlist, documentation, waitlist, support center","TC04 - Should check the support center search work","TC04 - Should check the support center search work",""
"passed","Sat Sep 24 16:14:45 EEST 2022","Sat Sep 24 16:14:48 EEST 2022","3671","","Tests for social media and law enforcement request","","Tests for social media and law enforcement request","TC14 - Should check connection to Telnyx facebook account","TC14 - Should check connection to Telnyx facebook account",""
